"DEMFAM001","CO00SCR001","OPERACIÓN",0,"FLAG","co.com.experian.omnia.motorcrts.core.funciones.Flag"
"ENDFAM002","CO01END005IN","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM002","CO01END005IN","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END005IN","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END005IN","SALDO",4,"*","*"
"ENDFAM002","CO01END005IN","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END005IN","CUOTA",6,"*","*"
"ENDFAM002","CO01END005IN","CUPO",7,"*","*"
"ENDFAM002","CO01END005IN","PORTAFOLIO",8,"INSTALAMENTOS (IN)","IN"
"ENDFAM002","CO01END005IN","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END005IN","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END005OT","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM002","CO01END005OT","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END005OT","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END005OT","SALDO",4,"*","*"
"ENDFAM002","CO01END005OT","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END005OT","CUOTA",6,"*","*"
"ENDFAM002","CO01END005OT","CUPO",7,"*","*"
"ENDFAM002","CO01END005OT","PORTAFOLIO",8,"OTROS (OT)","OT"
"ENDFAM002","CO01END005OT","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END005OT","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END005RO","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM002","CO01END005RO","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END005RO","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END005RO","SALDO",4,"*","*"
"ENDFAM002","CO01END005RO","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END005RO","CUOTA",6,"*","*"
"ENDFAM002","CO01END005RO","CUPO",7,"*","*"
"ENDFAM002","CO01END005RO","PORTAFOLIO",8,"ROTATIVO (RO)","RO"
"ENDFAM002","CO01END005RO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END005RO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END005VE","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM002","CO01END005VE","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END005VE","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END005VE","SALDO",4,"*","*"
"ENDFAM002","CO01END005VE","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END005VE","CUOTA",6,"*","*"
"ENDFAM002","CO01END005VE","CUPO",7,"*","*"
"ENDFAM002","CO01END005VE","PORTAFOLIO",8,"VEHICULOS (VE)","VE"
"ENDFAM002","CO01END005VE","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END005VE","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END006CC","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END006CC","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END006CC","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END006CC","SALDO",4,"*","*"
"ENDFAM002","CO01END006CC","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END006CC","CUOTA",6,"*","*"
"ENDFAM002","CO01END006CC","CUPO",7,"*","*"
"ENDFAM002","CO01END006CC","PORTAFOLIO",8,"CARTERA COMUNICACIONES (CC)","CC"
"ENDFAM002","CO01END006CC","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END006CC","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END006CC_NSCR","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END006CC_NSCR","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END006CC_NSCR","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END006CC_NSCR","SALDO",4,"*","*"
"ENDFAM002","CO01END006CC_NSCR","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END006CC_NSCR","CUOTA",6,"*","*"
"ENDFAM002","CO01END006CC_NSCR","CUPO",7,"*","*"
"ENDFAM002","CO01END006CC_NSCR","PORTAFOLIO",8,"TELECOMUNICACIONES","CC_NSCR"
"ENDFAM002","CO01END006CC_NSCR","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END006CC_NSCR","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END006CO","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END006CO","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END006CO","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END006CO","SALDO",4,"*","*"
"ENDFAM002","CO01END006CO","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END006CO","CUOTA",6,"*","*"
"ENDFAM002","CO01END006CO","CUPO",7,"*","*"
"ENDFAM002","CO01END006CO","PORTAFOLIO",8,"CODEUDOR (CO)","CO"
"ENDFAM002","CO01END006CO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END006CO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END006HP","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END006HP","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END006HP","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END006HP","SALDO",4,"*","*"
"ENDFAM002","CO01END006HP","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END006HP","CUOTA",6,"*","*"
"ENDFAM002","CO01END006HP","CUPO",7,"*","*"
"ENDFAM002","CO01END006HP","PORTAFOLIO",8,"HIPOTECARIO (HP)","HP"
"ENDFAM002","CO01END006HP","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END006HP","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END006IN","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END006IN","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END006IN","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END006IN","SALDO",4,"*","*"
"ENDFAM002","CO01END006IN","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END006IN","CUOTA",6,"*","*"
"ENDFAM002","CO01END006IN","CUPO",7,"*","*"
"ENDFAM002","CO01END006IN","PORTAFOLIO",8,"INSTALAMENTOS (IN)","IN"
"ENDFAM002","CO01END006IN","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END006IN","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END006OT","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END006OT","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END006OT","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END006OT","SALDO",4,"*","*"
"ENDFAM002","CO01END006OT","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END006OT","CUOTA",6,"*","*"
"ENDFAM002","CO01END006OT","CUPO",7,"*","*"
"ENDFAM002","CO01END006OT","PORTAFOLIO",8,"OTROS (OT)","OT"
"ENDFAM002","CO01END006OT","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END006OT","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END006RO","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END006RO","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END006RO","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END006RO","SALDO",4,"*","*"
"ENDFAM002","CO01END006RO","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END006RO","CUOTA",6,"*","*"
"ENDFAM002","CO01END006RO","CUPO",7,"*","*"
"ENDFAM002","CO01END006RO","PORTAFOLIO",8,"ROTATIVO (RO)","RO"
"ENDFAM002","CO01END006RO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END006RO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END006TC_NSCR","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END006TC_NSCR","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END006TC_NSCR","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END006TC_NSCR","SALDO",4,"*","*"
"ENDFAM002","CO01END006TC_NSCR","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END006TC_NSCR","CUOTA",6,"*","*"
"ENDFAM002","CO01END006TC_NSCR","CUPO",7,"*","*"
"ENDFAM002","CO01END006TC_NSCR","PORTAFOLIO",8,"TARJETAS DE CREDITO","TC_NSCR"
"ENDFAM002","CO01END006TC_NSCR","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END006TC_NSCR","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END006VE","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END006VE","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END006VE","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END006VE","SALDO",4,"*","*"
"ENDFAM002","CO01END006VE","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END006VE","CUOTA",6,"*","*"
"ENDFAM002","CO01END006VE","CUPO",7,"*","*"
"ENDFAM002","CO01END006VE","PORTAFOLIO",8,"VEHICULOS (VE)","VE"
"ENDFAM002","CO01END006VE","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END006VE","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END013CC","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END013CC","ESTADO",2,"*","*"
"ENDFAM002","CO01END013CC","VENTANA",3,"EN LOS ULTIMOS 3 MESES","<=3"
"ENDFAM002","CO01END013CC","SALDO",4,"*","*"
"ENDFAM002","CO01END013CC","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END013CC","CUOTA",6,"*","*"
"ENDFAM002","CO01END013CC","CUPO",7,"*","*"
"ENDFAM002","CO01END013CC","PORTAFOLIO",8,"CARTERA COMUNICACIONES (CC)","CC"
"ENDFAM002","CO01END013CC","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END013CC","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END013CO","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END013CO","ESTADO",2,"*","*"
"ENDFAM002","CO01END013CO","VENTANA",3,"EN LOS ULTIMOS 3 MESES","<=3"
"ENDFAM002","CO01END013CO","SALDO",4,"*","*"
"ENDFAM002","CO01END013CO","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END013CO","CUOTA",6,"*","*"
"ENDFAM002","CO01END013CO","CUPO",7,"*","*"
"ENDFAM002","CO01END013CO","PORTAFOLIO",8,"CODEUDOR (CO)","CO"
"ENDFAM002","CO01END013CO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END013CO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END013HP","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END013HP","ESTADO",2,"*","*"
"ENDFAM002","CO01END013HP","VENTANA",3,"EN LOS ULTIMOS 3 MESES","<=3"
"ENDFAM002","CO01END013HP","SALDO",4,"*","*"
"ENDFAM002","CO01END013HP","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END013HP","CUOTA",6,"*","*"
"ENDFAM002","CO01END013HP","CUPO",7,"*","*"
"ENDFAM002","CO01END013HP","PORTAFOLIO",8,"HIPOTECARIO (HP)","HP"
"ENDFAM002","CO01END013HP","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END013HP","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END013IN","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END013IN","ESTADO",2,"*","*"
"ENDFAM002","CO01END013IN","VENTANA",3,"EN LOS ULTIMOS 3 MESES","<=3"
"ENDFAM002","CO01END013IN","SALDO",4,"*","*"
"ENDFAM002","CO01END013IN","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END013IN","CUOTA",6,"*","*"
"ENDFAM002","CO01END013IN","CUPO",7,"*","*"
"ENDFAM002","CO01END013IN","PORTAFOLIO",8,"INSTALAMENTOS (IN)","IN"
"ENDFAM002","CO01END013IN","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END013IN","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END013OT","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END013OT","ESTADO",2,"*","*"
"ENDFAM002","CO01END013OT","VENTANA",3,"EN LOS ULTIMOS 3 MESES","<=3"
"ENDFAM002","CO01END013OT","SALDO",4,"*","*"
"ENDFAM002","CO01END013OT","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END013OT","CUOTA",6,"*","*"
"ENDFAM002","CO01END013OT","CUPO",7,"*","*"
"ENDFAM002","CO01END013OT","PORTAFOLIO",8,"OTROS (OT)","OT"
"ENDFAM002","CO01END013OT","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END013OT","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END013RO","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END013RO","ESTADO",2,"*","*"
"ENDFAM002","CO01END013RO","VENTANA",3,"EN LOS ULTIMOS 3 MESES","<=3"
"ENDFAM002","CO01END013RO","SALDO",4,"*","*"
"ENDFAM002","CO01END013RO","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END013RO","CUOTA",6,"*","*"
"ENDFAM002","CO01END013RO","CUPO",7,"*","*"
"ENDFAM002","CO01END013RO","PORTAFOLIO",8,"ROTATIVO (RO)","RO"
"ENDFAM002","CO01END013RO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END013RO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END013TC_NSCR","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END013TC_NSCR","ESTADO",2,"*","*"
"ENDFAM002","CO01END013TC_NSCR","VENTANA",3,"EN LOS ULTIMOS 3 MESES","<=3"
"ENDFAM002","CO01END013TC_NSCR","SALDO",4,"*","*"
"ENDFAM002","CO01END013TC_NSCR","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END013TC_NSCR","CUOTA",6,"*","*"
"ENDFAM002","CO01END013TC_NSCR","CUPO",7,"*","*"
"ENDFAM002","CO01END013TC_NSCR","PORTAFOLIO",8,"TARJETAS DE CREDITO","TC_NSCR"
"ENDFAM002","CO01END013TC_NSCR","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END013TC_NSCR","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END013VE","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END013VE","ESTADO",2,"*","*"
"ENDFAM002","CO01END013VE","VENTANA",3,"EN LOS ULTIMOS 3 MESES","<=3"
"ENDFAM002","CO01END013VE","SALDO",4,"*","*"
"ENDFAM002","CO01END013VE","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END013VE","CUOTA",6,"*","*"
"ENDFAM002","CO01END013VE","CUPO",7,"*","*"
"ENDFAM002","CO01END013VE","PORTAFOLIO",8,"VEHICULOS (VE)","VE"
"ENDFAM002","CO01END013VE","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END013VE","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END018CC","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END018CC","ESTADO",2,"*","*"
"ENDFAM002","CO01END018CC","VENTANA",3,"EN LOS ULTIMOS 6 MESES","<=6"
"ENDFAM002","CO01END018CC","SALDO",4,"*","*"
"ENDFAM002","CO01END018CC","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END018CC","CUOTA",6,"*","*"
"ENDFAM002","CO01END018CC","CUPO",7,"*","*"
"ENDFAM002","CO01END018CC","PORTAFOLIO",8,"CARTERA COMUNICACIONES (CC)","CC"
"ENDFAM002","CO01END018CC","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END018CC","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END018CO","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END018CO","ESTADO",2,"*","*"
"ENDFAM002","CO01END018CO","VENTANA",3,"EN LOS ULTIMOS 6 MESES","<=6"
"ENDFAM002","CO01END018CO","SALDO",4,"*","*"
"ENDFAM002","CO01END018CO","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END018CO","CUOTA",6,"*","*"
"ENDFAM002","CO01END018CO","CUPO",7,"*","*"
"ENDFAM002","CO01END018CO","PORTAFOLIO",8,"CODEUDOR (CO)","CO"
"ENDFAM002","CO01END018CO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END018CO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END018HP","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END018HP","ESTADO",2,"*","*"
"ENDFAM002","CO01END018HP","VENTANA",3,"EN LOS ULTIMOS 6 MESES","<=6"
"ENDFAM002","CO01END018HP","SALDO",4,"*","*"
"ENDFAM002","CO01END018HP","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END018HP","CUOTA",6,"*","*"
"ENDFAM002","CO01END018HP","CUPO",7,"*","*"
"ENDFAM002","CO01END018HP","PORTAFOLIO",8,"HIPOTECARIO (HP)","HP"
"ENDFAM002","CO01END018HP","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END018HP","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END018IN","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END018IN","ESTADO",2,"*","*"
"ENDFAM002","CO01END018IN","VENTANA",3,"EN LOS ULTIMOS 6 MESES","<=6"
"ENDFAM002","CO01END018IN","SALDO",4,"*","*"
"ENDFAM002","CO01END018IN","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END018IN","CUOTA",6,"*","*"
"ENDFAM002","CO01END018IN","CUPO",7,"*","*"
"ENDFAM002","CO01END018IN","PORTAFOLIO",8,"INSTALAMENTOS (IN)","IN"
"ENDFAM002","CO01END018IN","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END018IN","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END018OT","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END018OT","ESTADO",2,"*","*"
"ENDFAM002","CO01END018OT","VENTANA",3,"EN LOS ULTIMOS 6 MESES","<=6"
"ENDFAM002","CO01END018OT","SALDO",4,"*","*"
"ENDFAM002","CO01END018OT","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END018OT","CUOTA",6,"*","*"
"ENDFAM002","CO01END018OT","CUPO",7,"*","*"
"ENDFAM002","CO01END018OT","PORTAFOLIO",8,"OTROS (OT)","OT"
"ENDFAM002","CO01END018OT","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END018OT","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END018RO","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END018RO","ESTADO",2,"*","*"
"ENDFAM002","CO01END018RO","VENTANA",3,"EN LOS ULTIMOS 6 MESES","<=6"
"ENDFAM002","CO01END018RO","SALDO",4,"*","*"
"ENDFAM002","CO01END018RO","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END018RO","CUOTA",6,"*","*"
"ENDFAM002","CO01END018RO","CUPO",7,"*","*"
"ENDFAM002","CO01END018RO","PORTAFOLIO",8,"ROTATIVO (RO)","RO"
"ENDFAM002","CO01END018RO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END018RO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END018VE","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END018VE","ESTADO",2,"*","*"
"ENDFAM002","CO01END018VE","VENTANA",3,"EN LOS ULTIMOS 6 MESES","<=6"
"ENDFAM002","CO01END018VE","SALDO",4,"*","*"
"ENDFAM002","CO01END018VE","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END018VE","CUOTA",6,"*","*"
"ENDFAM002","CO01END018VE","CUPO",7,"*","*"
"ENDFAM002","CO01END018VE","PORTAFOLIO",8,"VEHICULOS (VE)","VE"
"ENDFAM002","CO01END018VE","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END018VE","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END023CC","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END023CC","ESTADO",2,"*","*"
"ENDFAM002","CO01END023CC","VENTANA",3,"EN LOS ULTIMOS 9 MESES","<=9"
"ENDFAM002","CO01END023CC","SALDO",4,"*","*"
"ENDFAM002","CO01END023CC","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END023CC","CUOTA",6,"*","*"
"ENDFAM002","CO01END023CC","CUPO",7,"*","*"
"ENDFAM002","CO01END023CC","PORTAFOLIO",8,"CARTERA COMUNICACIONES (CC)","CC"
"ENDFAM002","CO01END023CC","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END023CC","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END023CO","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END023CO","ESTADO",2,"*","*"
"ENDFAM002","CO01END023CO","VENTANA",3,"EN LOS ULTIMOS 9 MESES","<=9"
"ENDFAM002","CO01END023CO","SALDO",4,"*","*"
"ENDFAM002","CO01END023CO","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END023CO","CUOTA",6,"*","*"
"ENDFAM002","CO01END023CO","CUPO",7,"*","*"
"ENDFAM002","CO01END023CO","PORTAFOLIO",8,"CODEUDOR (CO)","CO"
"ENDFAM002","CO01END023CO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END023CO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END023HP","OPERACIÓN",1,"PROMEDIO","co.com.experian.omnia.motorcrts.core.funciones.Promedio"
"ENDFAM002","CO01END023HP","ESTADO",2,"*","*"
"ENDFAM002","CO01END023HP","VENTANA",3,"EN LOS ULTIMOS 9 MESES","<=9"
"ENDFAM002","CO01END023HP","SALDO",4,"*","*"
"ENDFAM002","CO01END023HP","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END023HP","CUOTA",6,"*","*"
"ENDFAM002","CO01END023HP","CUPO",7,"*","*"
"ENDFAM002","CO01END023HP","PORTAFOLIO",8,"HIPOTECARIO (HP)","HP"
